"","l.wt","l.wt.1","l.wt.2","l.wt.3","l.LCAD","l.LCAD.1","l.LCAD.2","l.LCAD.3"
"Copg1",8.50132683828467,8.6989938017976,8.09588162890247,8.51909313514946,8.53900216160186,8.3051705671771,8.58818310128587,8.55420111365547
"Atp6v0d1",9.96980566949135,9.97549438559985,10.0006504749868,10.1616936056837,10.0517111452469,10.0847606957159,9.98920920133691,10.0352926126388
"Golga7",10.3540039155441,10.2989483099055,10.3932867298412,10.6137847690312,10.2344645562403,10.3418693638895,10.2444257995042,10.2671270327503
"Psph",7.11669629972254,7.30671784108461,6.39177648248739,6.76108603788945,7.01139556002711,6.51002845309299,6.8416518974009,6.48535444908006
"Trappc4",6.86898855853401,6.95763528732883,7.04847410083975,7.0545014875127,7.43529291923626,7.44068760495162,7.51706277760594,8.48226352144262
"Dpm2",7.58762842076253,7.62252373056744,7.63657901906011,7.61546661885016,7.79987386308011,7.62712819484966,7.6501369048218,7.78337237682072
"Psmb5",10.8951196065743,10.6962546935722,10.7342156835579,10.9535227258078,10.6800012229434,10.6444949818989,10.6384009775395,10.7124662133789
"Dhrs1",10.3552264245659,10.2187976323892,10.6021185158437,10.6845178233442,10.3704338232413,10.7011118366354,10.7400368973899,10.6002091591638
"Psenen",10.4876994747224,10.4612999689523,10.6226349129073,10.5346698815156,10.6322593985989,10.7551230897214,10.5532378990011,10.497635915395
"Anapc1",7.71213204687567,7.49413862588578,7.42858864065491,7.30695417944154,7.51461143473636,7.49707378109104,7.67743915375607,8.20968910028449
"Mrpl43",9.53788085903035,9.38253497658221,9.54847234482816,9.38989931258572,9.58137328064189,9.72779936857857,9.65017317417232,9.55135335920445
"Nmt1",8.85880557679522,8.80016632718997,8.61256902426081,8.7275521402487,8.80854550519286,8.82764861207609,8.77219715405886,10.0846262460215
"Atg5",8.43129883796077,8.31408069649022,8.39710090590272,8.25438581723168,8.52070867677817,8.61361555722086,8.45487784617814,9.20049290186794
"Mtif2",8.48886113262348,8.56636336602567,8.58938688724045,8.77634528364911,8.5945663144151,8.53328043451562,8.40367504209633,8.46948533026395
"Psap",11.2255541784218,11.032041076402,11.0866059866659,11.1548347189323,11.0833825239008,11.131322376496,11.1694298353847,11.6633719738772
"Ube2g1",9.98733713993328,9.9591541141498,10.1665983367133,9.94234559456875,9.861959395053,10.0818966807411,9.87377930791296,9.84183218455665
"Zkscan3",7.48348029151381,7.55338909351355,7.41939109197112,7.69194918014092,7.01191203751394,7.20367316619266,7.02668543576717,7.60000133468435
"Mrpl27",10.5211896548017,10.5168142444432,10.5644560062957,10.6093951261694,10.4775390127468,10.6278180181695,10.5416078584806,10.4904985313984
"Psma1",8.47091379760953,8.61875235645525,8.34587868039242,8.65468460214252,8.53029518969872,8.50936416484148,8.56012877760717,10.2576666896372
"G3bp2",9.15124829881408,8.89692867536099,8.89251063834665,8.93739299724118,9.24255276881744,9.20207998703486,9.31280718912135,8.55705743049081
"Golm1",6.384886230675,6.90557430552345,6.32204242393912,6.70965002386638,6.14868309522984,6.36722269948183,6.12133706950992,6.32206063640571
"Gps1",9.74985980939785,9.7941436457062,9.61383632598181,9.70955567074429,9.72348972192529,9.72010040920411,9.69682220649949,9.70685202885021
