"","h.wt","h.wt.1","h.wt.2","h.LCAD","h.LCAD.1","h.LCAD.2","h.LCAD.3"
"Copg1",7.85942943007985,7.9551710799696,8.04560050573395,8.14528083784569,8.01682689220535,7.96177772913748,7.96470272368691
"Atp6v0d1",9.47939771727715,9.49961661187069,9.57134821513755,9.46906279169505,9.5166788436931,9.4370794761326,9.55952553993724
"Golga7",10.0329113597952,9.93512061862792,10.0916633432216,10.03068727315,10.0274114709364,10.0648402881776,10.0269841184513
"Psph",6.64178320749806,6.56767275475323,6.49237061041973,7.08953713290871,7.03431323308437,6.95447249024268,6.93637175193375
"Trappc4",7.50849837291994,7.5390791310324,7.51918072958085,7.88995483515868,8.01715347662613,7.92689860999206,8.05878724038136
"Dpm2",7.49650429335587,7.4955530284185,7.39605234155477,7.30364989528146,7.44489536838503,7.357131538499,7.56513216990345
"Psmb5",11.0958747210403,11.0885915604087,11.0078954267251,10.9704122330044,11.0717010042655,11.1542738952516,11.0943974718272
"Dhrs1",9.22290427794433,9.35621458278983,9.21282294569337,9.1825962172621,9.27598862266592,9.17891502922997,9.20706362972373
"Psenen",10.3782005519518,10.4829425414958,10.3980826793352,10.391582577562,10.4283256229899,10.4312286800617,10.3975381640127
"Anapc1",7.84435570953818,7.77386060467918,8.04443076006835,7.94811891480608,7.87472308366269,7.79278375580365,7.87678219389361
"Mrpl43",10.0296936093638,10.0372438326198,9.96471499573928,9.85892294775322,9.90240188776312,10.0580186546197,10.0570659897283
"Nmt1",8.90719916409342,9.00814679082108,8.95597119320705,8.85038649188591,8.82641677243668,8.77639156382528,8.95041445876127
"Atg5",7.30631010605158,7.29053689529895,7.26580986161925,7.46809043175149,7.4741997120062,7.4778709800269,7.51047534923587
"Mtif2",9.3319091736965,9.32360456901674,9.24700536513803,9.40744593351667,9.37634283012814,9.35307506397378,9.46049316630337
"Psap",12.2790095844302,11.9870660721057,12.1586440354336,12.4535971714511,12.3206501522106,12.1491043674633,12.2219804557798
"Ube2g1",10.9990510878346,10.9635314896143,10.9077377047761,10.9428711031027,11.0941687586965,11.031006874371,11.0327825946661
"Zkscan3",8.38023744626236,8.31380027207855,8.34762174501959,8.58773936268,8.38481133044696,8.17408727804311,8.17523547922833
"Mrpl27",10.4105834246664,10.3416977174574,10.4196433819967,10.464672146528,10.6137819149319,10.5863810167977,10.629169531206
"Psma1",9.04422586070261,8.93069971968616,8.97433733815806,8.77694030701908,8.86234478994127,8.94266989663216,9.03424408889422
"G3bp2",8.58223178432439,8.51797025610148,8.67592432219458,8.57730173686699,8.57690989323867,8.6187086591201,8.59402324254287
"Golm1",7.79180052955637,7.82019428298914,7.77210187414391,7.84882790748501,7.7358622319935,7.73383140870535,7.83280269050639
"Gps1",9.6857223475495,9.65999125582536,9.75317863344146,9.75506023117707,9.78165051841867,9.75533483524581,9.84425444957103
"Ssr3",10.4346257258512,10.5673226902156,10.6100120648206,10.4659815025213,10.5317239624502,10.6225796430867,10.5771312887122
"Ctbp1",10.3523273008217,10.5204219538583,10.537461288772,10.6141481142019,10.5584525708379,10.5542192096472,10.52202700219
"Cdv3",9.48915445240172,9.46365595495389,9.34193712747978,9.41977907982166,9.42526194289814,9.51254712278873,9.83993348751992
"Copa",9.69169997598912,9.80346196551558,10.1242837997812,9.61150259707413,9.59675505508551,9.83473017456158,9.55337137112597
"Anapc2",8.38270952668674,8.29318997968227,8.64970878576874,8.40263934670736,8.3510628105746,8.38977242933432,8.47752571682711
"Cox18",9.09828190030704,9.02202790733124,9.06778524390403,8.21410653835495,8.01217744362256,8.1304110724828,8.20258129871627
"Arfgef1",10.1263524019742,10.1934127495079,10.1899118837537,10.3328038043424,9.95464126664464,10.1285848154846,10.1770659222442
"Ddx24",8.92536632094483,8.97753139996669,8.93258475505727,8.77059937897484,8.60381317858497,8.72611800181972,8.85384083724381
"Snrnp27",10.6043639613902,10.5466423037496,10.5066418568183,10.5478701188876,10.6565690361915,10.6430580234137,10.6490316709522
"Tmem129",7.98218869133049,7.91494984046633,8.24999989839479,8.32062344409318,8.12520122241899,8.09004020369044,8.14815521307793
"Rnf220",7.0994301876478,7.07547476390236,7.39070508331239,7.33075234773345,7.23659947717976,7.15194504634401,7.3218579421354
"Sap30l",9.01384828540965,9.06139557717291,9.17946725919452,9.23277763529427,9.14494710976897,9.16440013502441,9.21900560291429
"Armc1",10.0638705529671,9.92160126618629,9.78374965566469,10.1072474202631,10.0478401728214,9.99372578458039,10.0173033980446
"Mad2l1bp",8.47352405194187,8.33545109846947,8.07141302046982,8.18642047942939,8.32761470670106,8.17803386071198,8.15994074589109
"Naa60",8.27678579912935,8.24029448259875,8.41272450219806,8.57370095622777,8.45200355203294,8.37001899215981,8.48785586721377
"Vta1",9.15021320234459,9.14558040623755,9.19588471913337,9.13177106497807,9.09414104142802,9.16557885494067,9.18101315000182
"Rrn3",8.07145120710203,7.7365822822949,7.97483494653047,8.15797996524796,8.15235710202358,8.09063725341199,7.86439652750051
"Apoa1bp",9.97613719435468,10.2298097219752,10.2519921753673,9.96459010468484,10.0277089253397,10.0667113531007,10.193517721959
"Pdpk1",7.71353422078777,7.63357096103594,7.56190122466651,7.6671975369131,7.75357194611761,7.7207303312711,7.67201153325147
"Cpsf7",8.45270727613088,8.41236491239726,8.63849260699031,8.75295449922183,8.4289322375676,8.45912653015388,8.34268762758486
"Abhd16a",8.87876227267643,8.81827245209173,8.89060043596627,8.87325584237104,8.73904466449834,8.63943347231776,8.77842755670561
"Gm8069",11.5738764479764,11.4284983632884,11.379806562994,11.3492375436378,11.4267063551953,11.47586817077,11.4623565642874
"Rab7",10.8298258404991,10.7693531290528,10.7381526944379,10.7392422828581,10.8185071849466,10.7358085538257,10.7499041329272
"Ddb1",9.77638243030366,9.70560837104048,9.90465072678111,9.78815370355638,9.65968324490808,9.61076455371432,9.62264349601068
"Txndc12",9.10612581287332,9.17453675138223,9.16730398022885,9.09585863772165,9.36205098523404,8.96974366108287,9.10181340785997
"Psmc5",10.4467305702544,10.4188861814013,10.3703479412641,10.3454694513175,10.2810229877701,10.2583980826344,10.4097003398278
"Tmem165",9.10295490091296,9.12352562470436,9.24756228503519,9.17061520095943,9.23029799265996,9.11560251143057,9.25766668963721
"Aup1",7.76283173730825,7.5690345571944,7.69627479680213,7.81257908586781,7.83524803144181,7.80790613234868,7.82369752525971
"Hdac5",8.55066495339975,8.61957551006655,8.58997155587609,8.38056755867682,8.62525934614924,8.53552811776315,8.39051825681748
"Pfdn6",9.81454657832065,9.77492908231397,9.79258636706233,9.78465839956999,9.84194472879381,10.0104121541413,10.0668973846673
"Dscr3",8.79607099400254,8.86702632322925,9.01531496630256,8.88978672522204,9.01277829710297,8.83788964427023,8.94578173275509
"Cic",7.57535363208305,7.51519054800433,7.73796460755953,7.58996148449024,7.65907141547813,7.53575997853777,7.38453770482837
"Dctn5",8.73021988983451,8.67878532735767,8.72895242895837,8.18425172591789,8.36625283206142,8.39047049310091,8.34012707168609
"Rragc",9.614817674179,9.72907635908867,9.70619484238367,9.65918925572411,9.58085154311187,9.6583166456737,9.68100924932333
"Tbl3",6.74064347141516,6.94085022393835,6.75822734622624,6.73872947248939,6.79480936948949,6.89492699179744,6.97931474883274
"Hp1bp3",9.96568011831969,9.90611072841791,10.2176751878513,10.3359746841643,9.96561625861328,9.95595076451761,9.97544289636069
"BC031181",9.78634162989523,9.67025949768691,9.71466821690796,9.78546620026128,9.79812240140211,9.89229109335463,9.81590935925801
"Abhd17a",8.61447619692807,8.71811204434062,8.74186421217236,8.51858423509843,8.7407884230995,8.77251341952037,8.67497732560344
"Polr2f",8.92615784233209,8.89043185706797,8.86030785754985,8.85507244941403,9.06771122945034,8.95525694117774,8.99943543511504
"Ube2v1",9.28546147449453,9.3667640265922,9.34684088423546,9.39296719766557,9.43046572403838,9.42604254577846,9.42873382211326
"Gbf1",7.8951812099951,7.8978463633606,7.9406179039551,7.79648020454942,7.83740462138473,7.7765625237297,7.71967822084063
"Fryl",7.69013308239082,7.62932299323513,7.95307388761505,7.79680132595501,7.36529211206551,7.45217640522682,7.35453357259062
"Tmem234",9.38651273913989,9.42003431151314,9.36105727447175,9.3187790217918,9.34097960486499,9.38461217032345,9.38157939661845
"Ube2r2",9.45354185987819,9.43101404801903,9.46912854161581,9.58884803186548,9.38455296517194,9.47621345245235,9.57842924691724
"Itch",8.37689679146064,8.2672767863406,8.46075345603057,8.54828641321002,8.17866714139195,8.33981509280447,8.42067048288114
"Rbbp7",11.8496959173909,11.924958138694,12.0126677108333,11.9457829432521,11.8775596075185,11.861072188104,11.8548879163775
