"","b.wt","b.wt.1","b.wt.2","b.wt.3","b.LCAD","b.LCAD.1","b.LCAD.2","b.LCAD.3"
"Copg1",8.08684136730011,8.04748170520338,8.14001549811102,8.01022921397078,8.20664512853649,8.15103219655293,7.95609334097289,8.08620024900571
"Atp6v0d1",9.80705358308577,9.63709360144031,10.0444812795509,9.8253326475332,9.86888026142251,9.66705890847666,9.54124445980926,9.58102805089647
"Golga7",9.88940615799702,9.76359747680141,9.88409036715748,9.75493709395315,9.87925531318478,9.93249889208569,10.0589437767525,10.0063999998481
"Psph",8.93803499830318,8.98025133218195,8.23358253047894,9.01592736208725,8.27001951756291,8.39828298188787,8.48633868931636,8.4748802055324
"Trappc4",8.17284528713759,7.88577480135618,8.42623142764233,8.45341903256837,8.56975383209736,8.67184982878808,8.71914297708362,8.41925759333391
"Dpm2",7.69908086425082,7.7312941825106,7.8909311982779,7.79470489629428,7.93419548037944,7.95283790888334,7.86063671490917,7.75432968583825
"Psmb5",10.9548835356041,10.9389610148735,11.255846907737,10.9905738626112,10.8654051093224,10.8303679986218,10.6888580366248,10.6804857647958
"Dhrs1",9.10182574889794,8.61731622692849,9.46704099539055,9.39220524458445,9.40585040119718,9.40388683700638,9.26857755554034,9.2080068750814
"Psenen",10.5173893836515,10.7566919128075,10.9971981144519,10.7321787059509,10.9796628381505,10.8488654555453,10.8687018879618,10.7729321032871
"Anapc1",7.82215293535714,8.12361722679403,7.85120677347184,7.89405116126922,7.82887380018772,7.88931850776044,7.96603941714632,7.92534169157197
"Mrpl43",10.0041904040051,9.70357607563881,10.0792855661549,10.0425901696709,10.140122306192,10.059757199151,9.75518035289036,9.79137038723957
"Nmt1",9.28153497965768,9.52357839543414,9.40287493269039,9.38488133642596,9.34427268189237,9.21783144743912,9.2228181903134,9.26480025675997
"Atg5",7.07275813261033,7.11992140892962,7.18382719878202,7.20031634282373,7.30169782621771,7.37151742199565,7.19376912900227,7.39342787049272
"Mtif2",9.39769644966903,9.32241823488453,9.18440336561869,9.46102712730317,9.33606723524356,9.40681457209329,9.53788085903035,9.42662140018903
"Psap",12.594046221378,12.4814239415988,12.6053495261231,12.6352377843367,12.5980754783875,12.6231049639425,12.7147570362623,12.6023875270617
"Ube2g1",9.60953133331415,9.85914612261642,9.83999539940558,9.8213472637308,9.8991508520771,9.81700803050604,9.91334915940215,9.97454544462891
"Zkscan3",7.73072312583945,7.64626142854951,7.09997046787022,6.86449047167317,7.28758470115951,7.04583709804223,6.80950030107304,7.29154356419872
"Mrpl27",10.5706309434514,10.9111623818112,10.8863715826442,10.8769445501822,10.6066989965585,10.7114572212564,10.8987264558586,10.6842670866145
"Psma1",8.79616694985223,8.9562765324864,9.00230800989419,8.91234646439351,8.8005836701811,8.70056545255156,8.762621075053,8.84165702316882
"G3bp2",10.2598567131916,9.90383586354151,10.1686316318562,10.0960420467882,10.5345830085395,10.3682223830385,9.53319119967353,9.68592510277894
"Golm1",7.59322983074196,7.75790931944299,7.49879361135171,7.61055796750876,7.227770721008,7.3409757562349,7.8423366393174,7.54338119636599
"Gps1",9.59439179126263,9.71341418279579,9.5577192858423,9.65989299196944,9.49375059491716,9.64900020669681,9.50520327120165,9.59095862233989
"Ssr3",10.3513728086187,10.4166402684421,10.5140533990403,10.4476032674371,10.3812846705134,10.459612866309,10.4574813306568,10.5582293617144
"Ctbp1",9.81129167795114,9.77359964149526,9.70622057601903,9.88255501782615,9.9684429421259,9.88591863190761,9.74701405535035,9.95677282569732
"Cdv3",8.93172696918996,8.69608255254526,8.75718424521144,8.79954050619064,9.21785419198683,8.84831199205791,8.468225688028,8.69132820047583
"Copa",10.5259867223951,10.7079887931648,10.4183883639129,10.4614973529646,10.3086700838385,10.1935157507157,10.1892432876728,10.3269729796443
"Anapc2",8.63603212396126,8.53969188926041,8.54902452643051,8.70085526543749,8.49395749479554,8.49777608848435,8.51917262903955,8.61617659881743
